,obsid,mjd,o_phase,freq (MHz),flux,flux_error,bestprof,pdmp_sn
0,1255444104,58774.602847222224,orig,154.24,23.679,6.608,/astro/mwavcs/nswainston/J0036-1033_detections/1255444104_00:36:14.00_-10:33:59.71_900.00ms_Cand.pfd.bestprof,41.55
1,1133775752,57366.404340277775,P1,184.96,6.855,3.494,/astro/mwavcs/nswainston/J0036-1033_detections/1133775752_00:36:14.00_-10:33:59.71_900.00ms_Cand.pfd.bestprof,8.38
2,1137236608,57406.460543981484,P1,184.96,10.404,3.053,/astro/mwavcs/nswainston/J0036-1033_detections/1194350120_00:36:14.00_-10:33:59.71_900.00ms_Cand.pfd.bestprof,10.54
3,1150234552,57556.89971064815,P1,184.96,2.891,1.603,/astro/mwavcs/nswainston/J0036-1033_detections/1150234552_00:36:14.00_-10:33:59.71_900.00ms_Cand.pfd.bestprof,5.44
4,1164110416,57717.49998842592,P2C,154.24,9.337,3.119,/astro/mwavcs/nswainston/J0036-1033_detections/1164110416_00:36:14.25_-10:35:14.03_900.00ms_Cand.pfd.bestprof,36.31
5,1182630616,57931.85414351852,P2C,154.24,4.337,2.956,/astro/mwavcs/nswainston/J0036-1033_detections/1182630616_00:36:14.00_-10:33:59.71_900.00ms_Cand.pfd.bestprof,6.4
6,1194350120,58067.49655092593,P2E,154.24,7.467,2.404,/astro/mwavcs/nswainston/J0036-1033_detections/1194350120_00:36:14.61_-10:33:42.81_900.00ms_Cand.pfd.bestprof,8.01
7,1222697776,58395.59442129629,P2C,154.24,26.931,6.903,/astro/mwavcs/nswainston/J0036-1033_detections/1222697776_00:36:10.34_-10:33:25.93_900.00ms_Cand.pfd.bestprof,31.53
8,1225462936,58427.598587962966,P2C,154.24,7.87,2.857,/astro/mwavcs/nswainston/J0036-1033_detections/1225462936_00:36:14.00_-10:33:59.71_900.00ms_Cand.pfd.bestprof,12.8
9,1275085816,59001.937476851854,P2E,154.24,17.531,5.125,/astro/mwavcs/nswainston/J0036-1033_detections/1275085816_00:36:11.58_-10:33:56.44_900.04ms_Cand.pfd.bestprof,17.92
10,1275092416,59002.013865740744,P2E,154.24,13.861,4.263,/astro/mwavcs/nswainston/J0036-1033_detections/1275092416_00:36:12.34_-10:32:48.36_900.04ms_Cand.pfd.bestprof,17.85
11,1275094456,59002.03747685185,P2E,154.24,10.987,3.905,/astro/mwavcs/nswainston/J0036-1033_detections/1275094456_00:36:13.85_-10:33:26.18_900.04ms_Cand.pfd.bestprof,14.62
12,1275172216,59002.937476851854,P2E,154.24,13.584,4.2,/astro/mwavcs/nswainston/J0036-1033_detections/1275172216_00:36:15.87_-10:33:31.22_900.04ms_Cand.pfd.bestprof,20.78
13,1275177136,59002.994421296295,P2E,154.24,11.281,4.194,/astro/mwavcs/nswainston/J0036-1033_detections/1275177136_00:36:14.78_-10:33:31.22_900.04ms_Cand.pfd.bestprof,19.65
14,1275178816,59003.013865740744,P2E,154.24,18.748,4.561,/astro/mwavcs/nswainston/J0036-1033_detections/1275178816_00:36:15.20_-10:33:31.22_900.04ms_Cand.pfd.bestprof,16.94
15,1275258616,59003.937476851854,P2E,154.24,12.112,3.959,/astro/mwavcs/nswainston/J0036-1033_detections/1275258616_00:36:14.61_-10:33:18.61_900.04ms_Cand.pfd.bestprof,17.66
16,1275431416,59005.937476851854,P2E,154.24,12.228,3.745,/astro/mwavcs/nswainston/J0036-1033_detections/1275431416_00:36:09.67_-10:33:15.91_900.04ms_Cand.pfd.bestprof,24.08
17,1275863416,59010.937476851854,P2E,154.24,14.96,4.552,/astro/mwavcs/nswainston/J0036-1033_detections/1275863416_00:36:12.76_-10:33:18.61_900.04ms_Cand.pfd.bestprof,25.52
18,1275866536,59010.973587962966,P2E,154.24,17.517,5.241,/astro/mwavcs/nswainston/J0036-1033_detections/1275866536_00:36:13.68_-10:33:24.92_900.04ms_Cand.pfd.bestprof,28.5
19,1276725752,59020.918217592596,P2E,154.24,14.44,3.909,/astro/mwavcs/nswainston/J0036-1033_detections/1276725752_00:36:13.60_-10:33:48.87_900.04ms_Cand.pfd.bestprof,18.53
20,1278106408,59036.89803240741,P2E,154.24,18.635,5.034,/astro/mwavcs/nswainston/J0036-1033_detections/1278106408_00:36:14.44_-10:33:18.61_900.04ms_Cand.pfd.bestprof,27.36
21,1283104232,59094.74321759259,P2E,154.24,15.477,4.476,/astro/mwavcs/nswainston/J0036-1033_detections/1283104232_00:36:14.02_-10:33:22.44_900.04ms_Cand.pfd.bestprof,24.07
22,1285086000,59117.680347222224,P2E,154.24,12.152,3.659,/astro/mwavcs/nswainston/J0036-1033_detections/1285086000_00:36:13.77_-10:33:22.44_900.04ms_Cand.pfd.bestprof,17.84
23,1287670032,59147.588125,P2E,154.24,10.162,3.116,/astro/mwavcs/nswainston/J0036-1033_detections/1287670032_00:36:14.02_-10:33:33.78_900.04ms_Cand.pfd.bestprof,25.52
24,1290341112,59178.50340277778,P2E,154.24,10.158,3.023,/astro/mwavcs/nswainston/J0036-1033_detections/1290341112_00:36:14.58_-10:33:16.40_900.04ms_Cand.pfd.bestprof,30.23
