Pulsar,ObservationID,ATNF Period (s),ATNF DM,Offset (degrees),Flux Density (mJy),Flux Density Uncertainty (mJy),Flux Density Scintilation Uncertainty (mJy),Estimated Flux Density (mJy),Estimated Flux Density Uncertainty (mJy)
J0030+0451,1255444104,0.00486545321149608,4.332772,4.274623432003758,36.899,8.271,47.651941008811406,38.11685899319002,4.525048678590486
J0034-0534,1255444104,0.001877181884585,13.765170000000001,7.266935273131019,259.60900000000004,84.506,209.56993778348522,205.0711483865141,7.79517385624868
J0034-0721,1255444104,0.9429509945597656,10.922,9.026500506543696,359.102,42.704117049764655,288.95700810624004,353.3502746016407,11.293894024787425
J0038-2501,1226062160,0.2569264575329,5.71,8.508979271481858,44.278,5.59,49.77696187504703,,
J0051+0423,1225118240,0.3547317989,13.93,14.597996983366585,58.739,16.563,46.21891251179964,5.3882309229566845,1.4048531165016207
J0133-6957,1227009976,0.463473741703,22.948,7.742598204486686,12.062000000000001,3.9539999999999997,8.046199632230081,,
J0134-2937,1226062160,0.13696161051365074,21.805999999999997,20.678378540378528,10.915,2.85,7.093016071742345,27.24551928368905,17.318365541313785
J0151-0635,1252177744,1.464664549333674,25.66,17.307391322192032,7.58,3.069,5.184471922457435,29.393869942636012,6.155005131821426
J0152-1637,1225462936,0.8327416126877758,11.92577,11.528895416015919,102.96766666666667,23.251707593206998,44.710633133296824,86.55892199109398,8.533698796763762
J0206-4028,1224859816,0.6305512595685335,12.9,11.14795185240365,84.227,26.3372232021525,47.18768796937395,55.68489733485566,9.132337877787503
J0255-5304,1253471952,0.44770847319884893,15.9,4.357975033979612,42.7665,11.69189334539107,27.12957712149055,55.95878462260011,51.923744008154465
J0304+1932,1254594264,1.387584446262276,15.656770000000002,12.692210276428012,34.5,9.008,25.62453979896386,49.52733758281014,8.391050189046227
J0401-7608,1255803168,0.5452541866069086,21.7,4.919692430982109,73.808,18.32,47.681942913132396,0.006819495735294039,0.006027447917680613
J0418-4154,1253991112,0.7571189450307722,24.325,3.9436014818352727,38.409,11.324000000000002,24.48726103206401,,
J0437-4715,1257617424,0.0057574519367126365,2.6447599999999998,15.411318848834478,1179.0410000000002,237.69299999999998,1905.9631613284619,928.4216026225907,11.575474987992955
J0450-1248,1256407632,0.4380141493906399,37.041,14.773008568206567,109.90449999999998,66.26105061799126,79.10570743195855,38.29753309422895,15.662016767576867
J0452-1759,1257010784,0.5489392232937018,39.903,9.135540165007328,262.834,93.18906114990106,124.39917348256753,101.60799750584263,7.616396906194689
J0459-0210,1256407632,1.1330761236588236,21.02,3.8726644268058603,55.94133333333334,29.688679424992955,34.31673149291611,11.091328923637281,5.005106739203792
J0514-4408,1257617424,0.3202708224090367,15.122,13.322368747514954,90.45200000000001,7.6160000000000005,64.38212632227615,,
J0520-2553,1257010784,0.2416421756731351,33.77,3.8022577305453127,17.673,5.422999999999999,10.135408854237202,6.7674734308457545,3.6243265566365483
J0525+1115,1259685792,0.3544375945137003,79.418,12.79802391711736,43.658,5.542999999999999,15.19843507422571,71.64430558061345,11.347111548975768
J0528+2200,1259685792,3.745539250301405,50.8695,10.037825323984519,38.332,6.916,16.80780229124726,50.74328548004198,6.794405107046198
J0534+2200,1259685792,0.033392412302258895,56.77118000000001,8.8035390564868,35.041,6.537000000000001,14.819335072156672,6374.983567730073,1922.3092829766579
J0600-5756,1257617424,2.261364513,30.0,2.9475744728600715,26.8,2.8789999999999996,14.02614257845858,,
J0601-0527,1259427304,0.3959691695431816,80.538,7.7467837189519235,71.944,11.495,25.86240789523242,84.76677478601854,18.993593043244175
J0614+2229,1259685792,0.33495996611057016,96.91,4.029961582210575,32.743,5.693,11.217574951489123,201.52262782563898,18.70083824101976
J0624-0424,1260638120,1.0390764758509907,70.835,16.31307101748052,25.544,7.999,11.845838865699113,13.478498225405248,3.601832605658155
J0630-2834,1261241272,1.2444185961512455,34.425,12.19659975609872,753.0246666666667,105.83292956825866,367.2169156589945,734.8628020861843,11.444499927631748
J0636-4549,1258221008,1.98459736713,26.31,7.277304710137897,18.62,9.379881502449805,11.364264863794157,,
J0702-4956,1257617424,0.6659935900128262,98.7,10.398855334977302,15.502,4.9430000000000005,6.709469531301252,,
J0729-1448,1266155952,0.251658714180918,91.89,12.621850236604379,63.794,10.952,22.19824527507078,19.531167035103003,5.864427727375828
J0729-1836,1266155952,0.5101603448262563,61.293,13.552834151247673,57.06100000000001,14.585392178477754,21.99462925476175,59.27677161963411,9.765120855568677
J0737-3039A,1261241272,0.02269937859962392,48.92,4.862662249071451,158.567,35.473976320677664,54.87771330856838,86.31410622627001,9.935445768445135
J0742-2822,1265470568,0.16676229157216366,73.72800000000001,22.997105817257793,286.20849999999996,50.210879179715626,112.71432639817299,148.28911579852215,30.204857145811058
J0749-4247,1265983624,1.09545215761,104.595,6.304063655372157,19.041,8.742,10.287334243105803,64.9383633125605,58.62716913983129
J0758-1528,1266155952,0.6822651758059591,63.327,5.955592953111944,38.667,8.797,16.484584100091954,44.52340375737451,10.862667780931508
J0820-1350,1266155952,1.2381295438681763,40.938,0.927804778364402,303.6375,54.19120505211155,122.55232148013184,212.4551516803396,9.321595068899452
J0820-3921,1265983624,1.07356658405,179.4,0.9903595585203196,50.975,11.239,15.913345509123465,40.23963855460062,12.31630839131899
J0820-4114,1265470568,0.5454455601017385,113.4,19.985570902042063,67.1325,11.58266916561118,27.277462503512183,140.36124723689468,9.398058082905587
J0823+0159,1266155952,0.8648728046988048,23.726999999999997,14.92253346749607,37.21,10.307,23.64592147592055,39.90889082533487,
J0826+2637,1265725128,0.5306605116860001,19.476329999999997,8.055111655650132,193.86599999999999,18.805999999999997,123.10184163967546,390.94238849919327,35.46101130901705
J0835-4510,1266680784,0.08932838502359318,67.771,21.817357450977063,1120.632,55.28,395.2443134923176,7283.1420335527555,81.45769101459041
J0837+0610,1265725128,1.2737682915784505,12.864,13.17388813820245,138.30100000000002,17.315,106.88018146689365,427.2833597050032,11.99759818068941
J0837-4135,1266329600,0.7516254225473826,147.2,13.386705366567687,113.27525,21.129572925168176,42.54354234080936,162.39276966677033,
J0838-3947,1265983624,1.7039457055449228,219.0,3.411107818812535,22.038,9.04,10.069180642203083,,
J0842-4851,1266329600,0.6443536202886856,196.85,6.086478815518415,43.011,8.163,12.224719449645605,23.692089720728752,5.7772974665032955
J0855-3331,1265470568,1.2675357027556968,86.635,9.589914807069835,76.297,8.479,25.209482949862764,66.28700974089658,13.784776663538604
J0856-6137,1266932744,0.9625106105636912,95.0,10.423093816228272,101.916,14.503491510667354,24.782716697759156,153.09048591559647,25.387107148545887
J0902-6325,1266932744,0.6603133715,72.72,8.734626869285018,30.753500000000003,11.00599418498847,13.842685777139389,,
J0904-7459,1266932744,0.5495536788056365,51.1,3.351752644402792,13.445,4.361000000000001,6.911342826640461,108.75165980224263,60.126163071802694
J0905-6019,1266932744,0.340854176542,91.4,11.844032223864346,32.894,9.079332849940021,11.075161541115582,,
J0907-5157,1266329600,0.25355772532977777,103.72,4.658503822860245,88.50200000000001,12.466,28.208663940962847,149.81053814855608,12.623866646059016
J0908-1739,1267283936,0.4016256234421613,15.879000000000001,20.616973108478238,82.5315,11.853116594381412,40.21141092815384,32.67885908015448,6.292556853033081
J0922+0638,1264867416,0.4306270989281231,27.2986,5.046136175896001,168.08033333333333,70.29247557171394,104.49474381802924,191.8156620721215,35.54333842756798
J0924-5302,1266680784,0.746338052448296,152.9,17.149921916206345,72.15075,16.396918064075333,19.701228938978435,104.23679723775884,9.821948562260403
J0924-5814,1266932744,0.7395054700038848,57.4,14.350676414792922,36.1615,9.135590730762843,13.296782150007411,76.856667415873,18.071149570011745
J0942-5552,1266932744,0.6643886813760521,180.16,17.221781243167065,35.916,11.88427048665588,12.927348911491347,94.55368336958271,28.74596815277383
J0942-5657,1266932744,0.8081643714147704,159.74,16.20799255510025,75.46366666666667,16.01777955897758,22.23735469845909,286.6123121149237,57.795456654076716
J0943+1631,1267111608,1.0874177280712083,20.3402,11.708677486042552,34.236,6.932,22.162358569522848,15.485091425003802,4.605548064505866
J0944-1354,1267283936,0.5702641245618781,12.497,11.566334338577512,26.531,4.77,21.05703546575001,87.84011220586866,24.534810526817296
J0946+0951,1267111608,1.0977057048553227,15.31845,14.168842497914891,181.877,17.863,129.01301631627322,121.84470121721192,30.23999321616708
J0953+0755,1267111608,0.2530651649481576,2.96927,14.314853127610139,906.4196666666668,136.83756031514153,788.2163928945721,2188.8016519839653,467.4897802900453
J0955-5304,1266680784,0.8621220105913701,156.9,14.174323088357111,38.25450000000001,15.644553045708912,18.045759908193485,1873.08468745698,1336.068825217246
J0959-4809,1266680784,0.670085873648983,92.7,9.754545153181782,73.0575,11.761559632973853,29.968642477948094,78.8189791372696,16.871868562605247
J1003-4747,1266680784,0.3070742192346082,98.49,9.050089586866306,29.046999999999997,6.653,10.801671639003677,17.894922426002836,5.092766226959223
J1012-2337,1268321832,2.517945020504389,22.51,19.422016936869422,27.3125,8.212416270501635,15.059160501424547,60.08033455595838,26.422159302668568
J1018-1642,1268321832,1.8046949457679968,48.82,20.769658434869605,19.7705,6.843906779026144,8.864727782702676,42.89010586819614,15.547910249649323
J1022+1001,1264867416,0.016452929958449262,10.2442,16.3817006313419,67.987,9.552999999999999,58.4892383926143,43.451446761533425,7.255149790701085
