Jname,ObsID
J0030+0451,1255444104
J0034-0534,1255444104
J0034-0721,1255444104
J0038-2501,1226062160
J0051+0423,1225118240
J0133-6957,1227009976
J0134-2937,1226062160
J0151-0635,1252177744
J0152-1637,1225462936
J0206-4028,1224859816
J0255-5304,1253471952
J0304+1932,1254594264
J0401-7608,1255803168
J0418-4154,1253991112
J0437-4715,1257617424
J0450-1248,1256407632
J0452-1759,1257010784
J0459-0210,1256407632
J0514-4408,1257617424
J0520-2553,1257010784
J0528+2200,1259685792
J0534+2200,1259685792
J0600-5756,1257617424
J0601-0527,1259427304
J0624-0424,1260638120
J0630-2834,1261241272
J0636-4549,1258221008
J0702-4956,1257617424
J0729-1448,1266155952
J0729-1836,1266155952
J0737-3039A,1261241272
J0742-2822,1265470568
J0749-4247,1265983624
J0758-1528,1266155952
J0820-1350,1266155952
J0820-3921,1265983624
J0820-4114,1265470568
J0826+2637,1265725128
J0835-4510,1266680784
J0837+0610,1265725128
J0837-4135,1266329600
J0838-3947,1265983624
J0842-4851,1266329600
J0855-3331,1265470568
J0856-6137,1266932744
J0902-6325,1266932744
J0904-7459,1266932744
J0905-6019,1266932744
J0907-5157,1266329600
J0908-1739,1267283936
J0922+0638,1264867416
J0924-5302,1266680784
J0924-5814,1266932744
J0930-2301,1266155952
J0942-5552,1266932744
J0942-5657,1266932744
J0943+1631,1267111608
J0944-1354,1267283936
J0946+0951,1267111608
J0953+0755,1267111608
J0955-5304,1266680784
J0959-4809,1266680784
J1003-4747,1266680784
J1012-2337,1268321832
J1018-1642,1268321832
J1022+1001,1264867416
J1034-3224,1268321832
J1041-1942,1268321832
J1057-5226,1267459328
J1059-5742,1301240224
J1112-6926,1301240224
J1116-4122,1267459328
J1121-5444,1267459328
J1123-4844,1267459328
J1123-6651,1301240224
J1136+1551,1268063336
J1136-5525,1267459328
J1141-6545,1301240224
J1146-6030,1267459328
J1202-5820,1301240224
J1224-6407,1301240224
J1225-5556,1267459328
J1239-6832,1301240224
J1240-4124,1301412552
J1257-1027,1300809400
J1300+1240,1301847296
J1311-1228,1301847296
J1312-5402,1267459328
J1313+0931,1301847296
J1320-5359,1301412552
J1328-4357,1301412552
J1332-3032,1301674968
J1335-3642,1301412552
J1340-6456,1301240224
J1355-5153,1302106648
J1418-3921,1302106648
J1430-6623,1302106648
J1440-6344,1302106648
J1453-6413,1302106648
J1455-3330,1302282040
J1456-6843,1302106648
J1507-4352,1302282040
J1510-4422,1302282040
J1527-3931,1302282040
J1534-5334,1302282040
J1536-4948,1302282040
J1543+0929,1302540536
J1543-0620,1302712864
J2048-1616,1222435400
J2108-3429,1222435400
J2145-0750,1222697776
J2155-3118,1222435400
J2222-0137,1221832280
J2234+2114,1223042480
J2241-5236,1224252736
J2248-0101,1221832280
J2317+2149,1223042480
J2324-6054,1227009976
J2325-0530,1222697776
J2330-2005,1226062160
J2336-01,1222697776
J2354-22,1226062160
J0823+0159,1266155952
J0614+2229,1259685792
J0525+1115,1259685792
