Pulsar,ObservationID,ATNF Period (s),ATNF DM,Bextprof DM,Bestprof sigma,Bestprof location,Plot location,Archive locaion,Flux Density (mJy),Flux Density Uncertainty (mJy),SN,SN Uncertainty,Predicted SN,Predicted SN Uncertainty,Searched Bool,Search offset (deg),Search Bestprof location,Search Bestprof sigma,Search SN,Search SN Uncertainty
J0030+0451,1255444104,0.00486545321149608,4.332772,4.333,39.4,/astro/mwavcs/vcs/1255444104/dpp/1255444104_J0030+0451/pf_1255444104_J0030+0451_00:30:27.42_+04:51:39.72_b50_4.87ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1255444104/dpp/1255444104_J0030+0451/pf_1255444104_J0030+0451_00:30:27.42_+04:51:39.72_b49_4.87ms_Cand.pfd.png,/astro/mwavcs/vcs/1255444104/dpp/1255444104_J0030+0451/1255444104_J0030+0451_archive.ar,36.899,8.271,6.3136525627844335,22.869284759054473,,,,,,,,
J0034-0534,1255444104,0.001877181884585,13.76517,13.766,51.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255444104/1255444104_J0034-0534.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255444104/1255444104_J0034-0534.prepfold.ps,/astro/mwavcs/vcs/1255444104/dpp/1255444104_J0034-0534/1255444104_J0034-0534_archive.ar,259.609,84.506,3.61396489230235,25.564299659054257,,,,,,,,
J0034-0721,1222697776,0.9429509945597656,10.922,9.726,10.8,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1222697776/1222697776_J0034-0721.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1222697776/1222697776_J0034-0721.prepfold.ps,,26.347,7.027,8.58167047229979,2.7137624821480246,,,,,,,,
J0034-0721,1255444104,0.9429509945597656,10.922,10.892,394.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255444104/1255444104_J0034-0721.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255444104/1255444104_J0034-0721.prepfold.ps,/astro/mwavcs/vcs/1255444104/dpp/1255444104_J0034-0721/1255444104_J0034-0721_archive.ar,691.857,42.122,64.0360291409941,4.5055592877880875,,,,,,,,
J0038-2501,1226062160,0.2569264575329,5.71,5.693,70.8,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1226062160/pf_1226062160_J0038-2501_00:38:10.26_-25:01:30.73_b256_256.94ms_Cand.pfd.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1226062160/pf_1226062160_J0038-2501_00:38:10.26_-25:01:30.73_b256_256.94ms_Cand.pfd.png,/astro/mwavcs/vcs/1226062160/dpp/1226062160_J0038-2501/1226062160_J0038-2501_archive.ar,44.278,5.59,24.62600749831563,3.4826433791219493,,,,,,,,
J0051+0423,1225118240,0.3547317989,13.93,13.900,29.6,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1225118240/1225118240_J0051+0423.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1225118240/1225118240_J0051+0423.prepfold.ps,,58.739,16.563,26.447779364687634,8.363522184601395,,,,,,,,
J0133-6957,1227009976,0.463473741703,22.948,22.948,27.4,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1227009976/1227009976_J0133-6957.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1227009976/1227009976_J0133-6957.prepfold.ps,,12.062,3.954,25.08285951871308,7.931896630916816,,,,,,,,
J0134-2937,1226062160,0.13696161051365074,21.806,21.793,9.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1226062160/pf_1226062160_J0134-2937_01:34:18.68_-29:37:17.04_b100_136.96ms_Cand.pfd.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1226062160/pf_1226062160_J0134-2937_01:34:18.68_-29:37:17.04_b100_136.96ms_Cand.pfd.png,/astro/mwavcs/vcs/1226062160/dpp/1226062160_J0134-2937/1226062160_J0134-2937_archive.ar,10.915,2.85,10.647596619696637,2.5096625910421513,,,,,,,,
J0151-0635,1252177744,1.464664549333674,25.66,25.660,12.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1252177744/1252177744_J0151-0635.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1252177744/1252177744_J0151-0635.prepfold.ps,,7.58,3.069,13.946569449141546,3.2872379439257067,,,,,,,,
J0152-1637,1226062160,0.8327416126877758,11.92577,11.925,144.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1226062160/pf_1226062160_J0152-1637_01:52:10.85_-16:37:53.64_b1024_832.77ms_Cand.pfd.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1226062160/pf_1226062160_J0152-1637_01:52:10.85_-16:37:53.64_b1024_832.77ms_Cand.pfd.png,/astro/mwavcs/vcs/1226062160/dpp/1226062160_J0152-1637/1226062160_J0152-1637_archive.ar,90.789,11.344,60.83433803844476,4.280289087914234,,,,,,,,
J0152-1637,1225462936,0.8327416126877758,11.92577,11.926,176.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1225462936/1225462936_J0152-1637.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1225462936/1225462936_J0152-1637.prepfold.ps,,130.91,17.001,74.38400686899453,5.233640460022572,,,,,,,,
J0152-1637,1252780888,0.8327416126877758,11.92577,11.926,121.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1252780888/1252780888_J0152-1637.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1252780888/1252780888_J0152-1637.prepfold.ps,,87.204,11.087,50.35656101129745,3.5430752688610028,,,,,,,,
