Pulsar,ObservationID,ATNF Period (s),ATNF DM,Bextprof DM,Bestprof sigma,Bestprof location,Flux Density (mJy),Flux Density Uncertainty (mJy),Offset (deg),SN,SN Uncertainty,Predicted SN,Predicted SN Uncertainty,Predicted Flux Density (mJy),Predicted Flux Density Uncertainty (mJy),Searched Bool,Search offset (deg),Search Bestprof location,Search Bestprof sigma,Search SN,Search SN Uncertainty
J1731-4744,1091793216,0.8298287852354905,123.056,123.330,50.0,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1091793216_PSR_1731-4744.pfd.bestprof,157.448,41.51,5.615184646041663,35.321263478892504,8.325301642000547,229.88423610394415,64.23187921113131,421.88669106306963,11.299078150286878,,,,,,
J1751-4657,1091793216,0.7423536034382896,20.4,20.381,51.1,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1091793216_PSR_1751-4657.pfd.bestprof,127.273,37.869,9.056396024818723,36.822213746100346,8.679079012722687,346.1822047311439,91.72288221065187,413.31469326833155,13.973602444816404,,,,,,
J1921+2153,1095506112,1.3373021601894548,12.44399,12.459,156.3,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1095506112_PSR_1921+2153.pfd.bestprof,83.836,32.0,4.29860535656608,107.95886259619667,34.13958994051403,50.60667010223875,40.93961463034588,162.84928205158704,33.15336905040265,,,,,,
J1932+1059,1095506112,0.2265187466567967,3.18321,3.141,28.2,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1095506112_PSR_1932+1059.pfd.bestprof,28.478,8.248,9.337627937606843,26.69536832677302,8.441816688972086,86.04756642759736,48.81171672200697,364.38617819830074,20.53001204624029,,,,,,
J1935+1616,1095506112,0.35873841076961044,158.521,158.521,11.0,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1095506112_PSR_1935+1616.pfd.bestprof,14.845,3.923,6.608224188228812,10.222603403593796,2.409490729353952,35.56057574036543,24.22061184534312,107.6997400503463,12.828503350798057,,,,,,
J2046-0421,1097404000,1.5469381168652414,35.799,36.228,7.1,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1097404000_PSR_2046-0421.pfd.bestprof,2.986,2.273,14.57286175210343,11.04467656675235,2.6032552321209144,78.82233511037587,29.734359642736734,37.88955198416797,8.217144205026656,,,,,,
J1752-2806,1107478712,0.5625576355342506,50.372,50.250,165.6,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1107478712_PSR_1752-2806.pfd.bestprof,322.279,127.57,1.979104520949406,143.11488819153726,45.25690137655936,611.434064164339,117.39307091420608,2434.300795954978,39.58504789667717,,,,,,
J1645-0317,1116090392,0.38768969803442455,35.7555,35.755,39.4,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1116090392nsch_PSR_1645-0317.pfd.bestprof,65.06,25.122,11.074984099463105,40.366622989693134,12.765047009674593,194.78666930980893,65.46797798689107,768.9703833444929,28.203196130882397,,,,,,
J1709-1640,1116090392,0.6530539712555028,24.891,24.900,14.8,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1116090392nsch_PSR_1709-1640.pfd.bestprof,38.711,12.67,3.916125182294457,21.789234752228623,5.135771883388815,30.74155049721982,11.380601602777062,179.80962143427843,49.35580096467607,,,,,,
J1820-0427,1276619416,0.5980819353745133,84.435,84.403,298.5,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1276619416_J1820-0427_c1276509016_b128.bestprof,946.338,165.87,1.9052451825597159,197.70773641666227,40.35692270179121,102.71232524588243,36.61385955498938,461.4515588627272,60.157011440684535,,,,,,
J1825-0935,1116090392,0.7690209983270947,19.3833,19.405,14.2,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1116090392nsch_PSR_1825-0935.pfd.bestprof,38.403,16.359,19.220236653118487,13.675252334305357,3.2232878866748274,94.05576957842008,37.15787254056626,77.43428017244369,12.387801036350789,,,,,,
J1902-5105,1116787952,0.001742399949905645,36.25,36.241,5.1,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1116787952n17_PSR_1902-5105.pfd.bestprof,36.085,12.716,12.921700491787174,3.0144139227329205,12.957596930590363,,,,,,,,,,
J1607-0032,1117899328,0.42181623358257625,10.6823,10.601,7.3,/astro/mwavcs/nswainston/code/misc_scripts/survey_paper/nonSMART_Prof/1117899328_PSR_1607-0032.pfd.bestprof,12.682,13.124,11.928294219205277,6.712897487503943,2.122804575973416,37.9813424273785,14.87257729400687,176.79326088402314,24.127894143954162,,,,,,
